"filename", "language", "vue", "TypeScript", "JavaScript", "Less", "SVG", "comment", "blank", "total"
"c:\Users\LENOVO\Desktop\Songs\src\APP\content\footer\button-hide.vue", "vue", 50, 0, 0, 0, 0, 0, 2, 52
"c:\Users\LENOVO\Desktop\Songs\src\APP\content\footer\index.vue", "vue", 187, 0, 0, 0, 0, 0, 12, 199
"c:\Users\LENOVO\Desktop\Songs\src\APP\content\footer\player-max.vue", "vue", 81, 0, 0, 0, 0, 0, 6, 87
"c:\Users\LENOVO\Desktop\Songs\src\APP\content\footer\player-min.vue", "vue", 358, 0, 0, 0, 0, 12, 14, 384
"c:\Users\LENOVO\Desktop\Songs\src\APP\content\header\index.vue", "vue", 66, 0, 0, 0, 0, 0, 2, 68
"c:\Users\LENOVO\Desktop\Songs\src\APP\content\menu\index.vue", "vue", 88, 0, 0, 0, 0, 0, 2, 90
"c:\Users\LENOVO\Desktop\Songs\src\APP\index.ts", "TypeScript", 0, 16, 0, 0, 0, 40, 5, 61
"c:\Users\LENOVO\Desktop\Songs\src\APP\index.vue", "vue", 81, 0, 0, 0, 0, 4, 1, 86
"c:\Users\LENOVO\Desktop\Songs\src\assets\style\common.less", "Less", 0, 0, 0, 42, 0, 2, 3, 47
"c:\Users\LENOVO\Desktop\Songs\src\assets\style\detailedPage.less", "Less", 0, 0, 0, 62, 0, 0, 0, 62
"c:\Users\LENOVO\Desktop\Songs\src\assets\style\index.less", "Less", 0, 0, 0, 117, 0, 0, 12, 129
"c:\Users\LENOVO\Desktop\Songs\src\assets\style\theme\dark.less", "Less", 0, 0, 0, 40, 0, 0, 1, 41
"c:\Users\LENOVO\Desktop\Songs\src\assets\style\theme\light.less", "Less", 0, 0, 0, 40, 0, 0, 1, 41
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\add2List.svg", "SVG", 0, 0, 0, 0, 11, 0, 0, 11
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\album.svg", "SVG", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\comment.svg", "SVG", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\exit.svg", "SVG", 0, 0, 0, 0, 9, 0, 0, 9
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\fullScreen.svg", "SVG", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\fullScreen_exit.svg", "SVG", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\github.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\good.svg", "SVG", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\hide.svg", "SVG", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\left.svg", "SVG", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\like.svg", "SVG", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\list.svg", "SVG", 0, 0, 0, 0, 11, 0, 0, 11
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\list_add.svg", "SVG", 0, 0, 0, 0, 9, 0, 0, 9
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\list_footer.svg", "SVG", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\netease.svg", "SVG", 0, 0, 0, 0, 11, 0, 0, 11
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\next_song.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\pause.svg", "SVG", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\play.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\play_list.svg", "SVG", 0, 0, 0, 0, 11, 0, 0, 11
"c:\Users\LENOVO\Desktop\Songs\src\assets\svg\previous_song.svg", "SVG", 0, 0, 0, 0, 8, 0, 0, 8
